Date,Price,Open,High,Low,Vol.,Change %
09/15/2022,"1,245.66","1,240.77","1,250.93","1,240.77",429.84K,0.39%
09/14/2022,"1,240.77","1,248.40","1,248.40","1,228.51",607.86K,-0.61%
09/13/2022,"1,248.40","1,249.62","1,252.35","1,243.87",473.97K,-0.10%
9/12/2022,"1,249.62","1,248.78","1,257.80","1,248.78",410.19K,0.07%
9/9/2022,"1,248.78","1,234.60","1,248.78","1,228.54",586.03K,1.15%
9/8/2022,"1,234.60","1,243.17","1,251.36","1,234.60",599.61K,-0.69%
9/7/2022,"1,243.17","1,277.40","1,277.40","1,243.17",852.27K,-2.68%
9/6/2022,"1,277.40","1,279.58","1,286.92","1,277.40",581.46K,0.00%
9/5/2022,"1,277.35","1,280.51","1,285.70","1,275.35",524.68K,-0.25%
08/31/2022,"1,280.51","1,279.39","1,285.29","1,274.99",499.31K,0.09%
08/30/2022,"1,279.39","1,270.80","1,287.65","1,270.80",526.10K,0.68%
08/29/2022,"1,270.80","1,282.57","1,282.57","1,249.17",845.90K,-0.92%
08/26/2022,"1,282.57","1,291.29","1,295.12","1,280.05",668.96K,-0.49%
08/25/2022,"1,288.88","1,277.16","1,289.18","1,277.16",623.97K,0.92%
08/24/2022,"1,277.16","1,270.81","1,280.36","1,270.81",601.89K,0.50%
08/23/2022,"1,270.81","1,260.43","1,270.81","1,253.45",564.72K,0.82%
08/22/2022,"1,260.43","1,269.18","1,270.57","1,255.83",619.45K,-0.69%
08/19/2022,"1,269.18","1,273.66","1,280.00","1,263.45",607.62K,-0.35%
08/18/2022,"1,273.66","1,275.28","1,283.15","1,268.64",599.08K,-0.13%
08/17/2022,"1,275.28","1,274.69","1,280.61","1,271.97",712.25K,0.05%
08/16/2022,"1,274.69","1,274.20","1,275.93","1,271.11",617.72K,0.04%
08/15/2022,"1,274.20","1,262.33","1,274.24","1,262.33",634.20K,0.94%
8/12/2022,"1,262.33","1,252.07","1,262.33","1,248.65",542.04K,0.82%
8/11/2022,"1,252.07","1,256.50","1,268.03","1,245.85",810.55K,-0.35%
8/10/2022,"1,256.50","1,258.85","1,260.36","1,253.89",651.76K,-0.19%
8/9/2022,"1,258.85","1,256.75","1,263.14","1,252.84",721.64K,0.17%
8/8/2022,"1,256.75","1,252.36","1,258.84","1,252.04",699.34K,0.32%
8/5/2022,"1,252.74","1,250.25","1,253.75","1,245.05",698.64K,-0.11%
8/4/2022,"1,254.15","1,249.76","1,257.38","1,247.38",724.75K,0.35%
8/3/2022,"1,249.76","1,241.62","1,250.20","1,232.41",789.52K,0.66%
8/2/2022,"1,241.62","1,231.35","1,241.91","1,224.11",817.69K,0.83%
8/1/2022,"1,231.35","1,206.33","1,231.35","1,206.33",708.71K,2.07%
07/29/2022,"1,206.33","1,208.12","1,217.84","1,206.33",590.32K,-0.15%
07/28/2022,"1,208.12","1,191.04","1,214.03","1,191.04",668.86K,1.43%
07/27/2022,"1,191.04","1,185.07","1,191.04","1,178.58",445.14K,0.50%
07/26/2022,"1,185.07","1,188.50","1,194.15","1,184.44",434.80K,-0.29%
07/25/2022,"1,188.50","1,191.43","1,198.16","1,184.32",437.85K,-0.52%
07/22/2022,"1,194.76","1,198.47","1,202.69","1,194.76",477.95K,-0.31%
07/21/2022,"1,198.47","1,194.14","1,201.91","1,194.14",530.31K,0.36%
